,Year,District Name,Age,Immigrants
670,2017,Eixample,45-49,90
671,2017,Eixample,45-49,134
672,2017,Eixample,45-49,154
673,2017,Eixample,45-49,151
674,2017,Eixample,45-49,164
675,2017,Eixample,45-49,94
676,2017,Sants-Montjuïc,45-49,113
677,2017,Sants-Montjuïc,45-49,3
678,2017,Sants-Montjuïc,45-49,101
679,2017,Sants-Montjuïc,45-49,33
680,2017,Sants-Montjuïc,45-49,58
681,2017,Sants-Montjuïc,45-49,37
682,2017,Sants-Montjuïc,45-49,68
683,2017,Sants-Montjuïc,45-49,118
684,2017,Les Corts,45-49,93
685,2017,Les Corts,45-49,64
686,2017,Les Corts,45-49,57
687,2017,Sarrià-Sant Gervasi,45-49,18
688,2017,Sarrià-Sant Gervasi,45-49,77
689,2017,Sarrià-Sant Gervasi,45-49,45
690,2017,Sarrià-Sant Gervasi,45-49,80
691,2017,Sarrià-Sant Gervasi,45-49,168
692,2017,Sarrià-Sant Gervasi,45-49,80
693,2017,Gràcia,45-49,33
694,2017,Gràcia,45-49,13
695,2017,Gràcia,45-49,28
696,2017,Gràcia,45-49,121
697,2017,Gràcia,45-49,60
698,2017,Horta-Guinardó,45-49,56
699,2017,Horta-Guinardó,45-49,16
700,2017,Horta-Guinardó,45-49,94
701,2017,Horta-Guinardó,45-49,7
702,2017,Horta-Guinardó,45-49,67
703,2017,Horta-Guinardó,45-49,17
704,2017,Horta-Guinardó,45-49,14
705,2017,Horta-Guinardó,45-49,15
706,2017,Horta-Guinardó,45-49,11
707,2017,Horta-Guinardó,45-49,2
708,2017,Horta-Guinardó,45-49,60
709,2017,Nou Barris,45-49,60
710,2017,Nou Barris,45-49,108
711,2017,Nou Barris,45-49,44
712,2017,Nou Barris,45-49,5
